Summary of the training: 
(' ave_R ', 205.33, ' std_R ', 183.37, ' min_R ', -8.01, ' max_R ', 1147.37, ' times ', 21825962, ' epi', 12900, ' clock ', 13.15, ' min')
(' ave_R ', 198.81, ' std_R ', 180.69, ' min_R ', -8.01, ' max_R ', 1147.37, ' times ', 22065709, ' epi', 13000, ' clock ', 13.28, ' min')
(' ave_R ', 193.19, ' std_R ', 169.15, ' min_R ', -8.95, ' max_R ', 1147.37, ' times ', 22327789, ' epi', 13100, ' clock ', 13.42, ' min')
(' ave_R ', 201.55, ' std_R ', 174.43, ' min_R ', -8.95, ' max_R ', 1147.37, ' times ', 22575444, ' epi', 13200, ' clock ', 13.56, ' min')
(' ave_R ', 190.79, ' std_R ', 172.67, ' min_R ', -8.95, ' max_R ', 1147.37, ' times ', 22784331, ' epi', 13300, ' clock ', 13.68, ' min')
(' ave_R ', 193.19, ' std_R ', 171.92, ' min_R ', -8.95, ' max_R ', 1147.37, ' times ', 22983592, ' epi', 13400, ' clock ', 13.81, ' min')
(' ave_R ', 172.95, ' std_R ', 142.72, ' min_R ', -8.95, ' max_R ', 622.03, ' times ', 23159841, ' epi', 13500, ' clock ', 13.92, ' min')
(' ave_R ', 178.88, ' std_R ', 148.91, ' min_R ', -8.95, ' max_R ', 738.11, ' times ', 23397817, ' epi', 13600, ' clock ', 14.06, ' min')
(' ave_R ', 182.13, ' std_R ', 147.84, ' min_R ', -8.95, ' max_R ', 738.11, ' times ', 23619104, ' epi', 13700, ' clock ', 14.18, ' min')
(' ave_R ', 193.1, ' std_R ', 151.46, ' min_R ', -8.95, ' max_R ', 763.85, ' times ', 23896251, ' epi', 13800, ' clock ', 14.33, ' min')
(' ave_R ', 191.13, ' std_R ', 149.22, ' min_R ', -8.95, ' max_R ', 763.85, ' times ', 24129597, ' epi', 13900, ' clock ', 14.46, ' min')
(' ave_R ', 208.82, ' std_R ', 164.31, ' min_R ', -8.95, ' max_R ', 877.22, ' times ', 24374034, ' epi', 14000, ' clock ', 14.6, ' min')
